"QTD_AMARELA";"QTD_BRANCA";"QTD_PRETA";"QTD_PARDA";"QTD_INDIGENA";"QTD_NAO_DECLARADA";"D_CURSO_CURSO_KEY";"D_TEMPO_TEMPO_KEY"
1;21;7;14;0;48;2;2022
0;23;6;6;0;1;3;2022
0;13;16;21;0;7;4;2022
2;26;17;34;0;5;5;2022
2;23;10;36;0;53;6;2022
1;13;7;20;1;23;7;2022
1;77;10;22;0;11;8;2022
0;43;12;23;0;12;9;2022
1;44;12;15;0;13;10;2022
2;100;26;66;0;56;11;2022
1;56;18;45;0;23;12;2022
2;39;14;27;0;28;13;2022
2;68;16;50;0;39;14;2022
0;43;13;41;0;42;15;2022
1;22;6;31;0;1;16;2022
5;49;20;80;1;26;17;2022
2;49;6;84;1;25;18;2022
1;17;23;76;1;13;19;2022
2;31;4;75;0;9;20;2022
3;31;10;89;1;4;21;2022
2;83;18;196;2;44;22;2022
0;30;8;32;0;22;23;2022
3;12;15;44;0;33;24;2022
2;35;8;46;0;29;25;2022
0;12;8;39;0;14;26;2022
1;14;14;24;0;8;27;2022
0;20;4;22;0;9;28;2022
1;32;8;69;0;25;29;2022
0;7;4;20;0;3;30;2022
1;39;10;12;0;14;31;2022
1;27;6;19;1;2;32;2022
0;27;10;16;0;1;33;2022
0;30;2;8;0;1;34;2022
1;32;7;12;0;11;35;2022
12;149;35;36;0;30;36;2022
2;39;3;8;0;3;37;2022
10;137;10;21;0;21;38;2022
7;64;7;18;0;6;39;2022
3;42;10;8;0;2;40;2022
2;19;3;7;0;2;41;2022
6;401;10;35;0;57;42;2022
0;22;1;6;0;1;43;2022
2;154;1;13;0;2;44;2022
0;49;9;14;1;7;45;2022
0;2;17;13;0;0;46;2022
0;5;1;3;0;0;47;2022
2;12;7;15;0;4;48;2022
3;104;25;50;0;3;49;2022
6;386;46;150;0;40;50;2022
0;6;1;1;0;1;51;2022
0;55;8;2;0;10;52;2022
0;32;3;5;0;0;53;2022
0;12;0;4;0;2;54;2022
3;246;3;23;0;65;55;2022
0;52;0;3;0;12;56;2022
0;20;1;4;0;8;57;2022
0;52;0;5;0;4;58;2022
1;33;0;1;0;3;59;2022
0;117;1;9;0;17;60;2022
3;229;6;18;0;31;61;2022
0;16;0;3;0;6;62;2022
0;21;0;2;0;6;63;2022
0;6;0;1;0;0;64;2022
0;10;0;2;0;13;65;2022
0;7;1;2;0;9;66;2022
0;6;1;2;0;10;67;2022
0;66;5;20;0;17;68;2022
1;50;6;12;0;4;69;2022
1;54;8;16;0;10;70;2022
1;148;21;47;0;42;71;2022
4;96;14;49;0;28;72;2022
