"CURSO_KEY";"CO_CURSO";"DESC_CURSO";"CO_CATEGORIA";"DESC_CATEGORIA";"CO_GRUPO";"DESC_GRUPO";"CO_MODALIDADE";"DESC_MODALIDADE";"CO_UF_CURSO";"DESC_UF_CURSO";"CO_REGIAO_CURSO";"DESC_REGIAO_CURSO";"VERSAO";"DT_INI";"DT_FIM"
1;0;"";0;"";0;"";0;"";0;"";0;"";1;"";""
2;1;" Administração";1;" Pública Federal";1;" Administração";1;" Presencial";51;" Mato Grosso (MT)";5;" Região Centro-Oeste (CO)";1;"2022-01-01";"2051-01-01"
3;2;" Administração";1;" Pública Federal";1;" Administração";1;" Presencial";51;" Mato Grosso (MT)";5;" Região Centro-Oeste (CO)";1;"2022-01-01";"2051-01-01"
4;7;" Administração";1;" Pública Federal";1;" Administração";1;" Presencial";51;" Mato Grosso (MT)";5;" Região Centro-Oeste (CO)";1;"2022-01-01";"2051-01-01"
5;8;" Administração";1;" Pública Federal";1;" Administração";1;" Presencial";51;" Mato Grosso (MT)";5;" Região Centro-Oeste (CO)";1;"2022-01-01";"2051-01-01"
6;13;" Administração";1;" Pública Federal";1;" Administração";1;" Presencial";51;" Mato Grosso (MT)";5;" Região Centro-Oeste (CO)";1;"2022-01-01";"2051-01-01"
7;21;" Administração";1;" Pública Federal";1;" Administração";1;" Presencial";51;" Mato Grosso (MT)";5;" Região Centro-Oeste (CO)";1;"2022-01-01";"2051-01-01"
8;122;" Administração";1;" Pública Federal";1;" Administração";1;" Presencial";53;" Distrito federal (DF)";5;" Região Centro-Oeste (CO)";1;"2022-01-01";"2051-01-01"
9;126;" Administração";1;" Pública Federal";1;" Administração";1;" Presencial";53;" Distrito federal (DF)";5;" Região Centro-Oeste (CO)";1;"2022-01-01";"2051-01-01"
10;128;" Administração";1;" Pública Federal";1;" Administração";1;" Presencial";53;" Distrito federal (DF)";5;" Região Centro-Oeste (CO)";1;"2022-01-01";"2051-01-01"
11;145;" Administração";1;" Pública Federal";1;" Administração";1;" Presencial";53;" Distrito federal (DF)";5;" Região Centro-Oeste (CO)";1;"2022-01-01";"2051-01-01"
12;148;" Administração";1;" Pública Federal";1;" Administração";1;" Presencial";53;" Distrito federal (DF)";5;" Região Centro-Oeste (CO)";1;"2022-01-01";"2051-01-01"
