"NOTA_TOTAL";"NOTAL_GERAL";"NOTA_ESPECIFICA";"D_CURSO_CURSO_KEY";"D_TEMPO_TEMPO_KEY"
0.0;0.0;0.0;2;2022
0.0;0.0;0.0;3;2022
0.0;0.0;0.0;4;2022
0.88;0.26;0.05;5;2022
7.13;3.2;1.87;6;2022
10.11;4.82;3.03;7;2022
11.18;5.76;3.95;8;2022
14.74;6.75;4.05;9;2022
11.58;7.14;5.64;10;2022
14.44;7.95;5.76;11;2022
16.96;8.73;5.95;12;2022
17.03;9.02;6.32;13;2022
17.23;9.4;6.78;14;2022
11.72;9.79;9.16;15;2022
18.8;10.03;7.11;16;2022
18.27;10.2;7.51;17;2022
16.49;10.61;8.62;18;2022
16.7;10.79;8.8;19;2022
20.33;11.0;7.85;20;2022
22.06;11.26;7.64;21;2022
16.48;11.6;9.95;22;2022
21.87;11.84;8.48;23;2022
20.96;11.96;8.96;24;2022
22.85;12.04;8.43;25;2022
23.61;12.19;8.36;26;2022
22.71;12.29;8.8;27;2022
21.83;12.42;9.28;28;2022
13.39;12.5;12.22;29;2022
13.22;12.5;12.27;30;2022
22.62;12.58;9.23;31;2022
24.16;12.64;8.79;32;2022
22.1;12.71;9.56;33;2022
20.24;12.8;10.3;34;2022
20.65;12.8;10.16;35;2022
23.53;12.96;9.42;36;2022
24.59;13.18;9.36;37;2022
18.27;13.29;11.61;38;2022
18.12;13.4;11.78;39;2022
17.48;13.4;11.99;40;2022
16.52;13.4;12.33;41;2022
23.32;13.6;10.34;42;2022
29.12;13.8;8.68;43;2022
26.14;13.88;9.78;44;2022
25.73;13.98;10.04;45;2022
24.02;14.0;10.63;46;2022
20.34;14.0;11.88;47;2022
26.2;14.04;9.96;48;2022
25.41;14.15;10.37;49;2022
20.49;14.41;12.37;50;2022
11.98;14.6;15.5;51;2022
17.97;14.6;13.48;52;2022
15.93;14.6;14.17;53;2022
19.76;14.6;12.88;54;2022
25.24;14.71;11.18;55;2022
26.79;14.86;10.87;56;2022
25.44;14.9;11.38;57;2022
24.42;14.92;11.74;58;2022
23.88;15.0;12.02;59;2022
28.34;15.05;10.6;60;2022
20.51;15.19;13.39;61;2022
16.9;15.2;14.6;62;2022
15.02;15.2;15.24;63;2022
18.96;15.2;13.91;64;2022
20.76;15.2;13.33;65;2022
17.43;15.2;14.44;66;2022
17.54;15.2;14.39;67;2022
19.28;15.2;13.82;68;2022
23.97;15.28;12.37;69;2022
24.05;15.3;12.37;70;2022
26.35;15.44;11.78;71;2022
27.38;15.55;11.57;72;2022
27.27;15.65;11.76;73;2022
30.9;15.7;10.6;74;2022
45.05;15.7;5.9;75;2022
25.33;15.7;12.47;76;2022
24.94;15.75;12.66;77;2022
24.57;15.89;12.98;78;2022
25.86;16.0;12.69;79;2022
22.59;16.07;13.88;80;2022
29.57;16.2;11.72;81;2022
26.11;16.31;13.02;82;2022
27.83;16.4;12.58;83;2022
26.14;16.45;13.2;84;2022
26.96;16.5;13.0;85;2022
21.27;16.5;14.9;86;2022
22.25;16.5;14.58;87;2022
18.12;16.5;15.95;88;2022
17.6;16.5;16.15;89;2022
22.44;16.5;14.5;90;2022
15.52;16.5;16.82;91;2022
19.33;16.5;15.54;92;2022
23.53;16.5;14.17;93;2022
17.34;16.5;16.22;94;2022
18.45;16.5;15.85;95;2022
19.64;16.5;15.44;96;2022
28.74;16.7;12.67;97;2022
29.65;16.9;12.64;98;2022
21.49;16.99;15.49;99;2022
20.77;17.0;15.76;100;2022
21.04;17.0;15.66;101;2022
28.76;17.21;13.35;102;2022
29.47;17.48;13.47;103;2022
30.06;17.6;13.43;104;2022
32.85;17.6;12.5;105;2022
30.2;17.6;13.38;106;2022
28.36;17.6;13.98;107;2022
26.49;17.64;14.67;108;2022
28.22;17.7;14.18;109;2022
30.81;17.7;13.32;110;2022
30.31;17.75;13.55;111;2022
23.85;17.85;15.82;112;2022
17.38;17.9;18.04;113;2022
16.47;17.9;18.33;114;2022
11.52;17.9;19.98;115;2022
17.6;17.9;17.96;116;2022
19.24;17.9;17.42;117;2022
18.54;17.9;17.65;118;2022
23.25;17.95;16.17;119;2022
28.22;18.0;14.58;120;2022
30.24;18.0;13.9;121;2022
31.19;18.0;13.58;122;2022
31.64;18.08;13.54;123;2022
31.28;18.1;13.68;124;2022
29.75;18.19;14.3;125;2022
29.05;18.2;14.54;126;2022
27.65;18.2;15.0;127;2022
28.86;18.23;14.65;128;2022
33.49;18.3;13.23;129;2022
31.53;18.3;13.87;130;2022
27.43;18.4;15.36;131;2022
24.9;18.4;16.21;132;2022
25.85;18.4;15.88;133;2022
28.13;18.45;15.21;134;2022
27.46;18.62;15.65;135;2022
28.27;18.7;15.49;136;2022
30.47;18.7;14.76;137;2022
29.11;18.7;15.21;138;2022
27.85;18.7;15.63;139;2022
24.73;18.7;16.67;140;2022
30.98;18.78;14.71;141;2022
34.15;18.8;13.67;142;2022
30.6;18.8;14.85;143;2022
30.7;18.8;14.81;144;2022
30.38;18.83;14.96;145;2022
28.12;18.9;15.81;146;2022
30.39;18.9;15.06;147;2022
26.5;18.9;16.36;148;2022
28.12;18.9;15.82;149;2022
26.08;18.9;16.5;150;2022
26.23;18.9;16.45;151;2022
28.19;18.9;15.79;152;2022
26.91;18.9;16.22;153;2022
26.48;18.9;16.37;154;2022
26.24;18.9;16.44;155;2022
27.45;18.9;16.05;156;2022
27.5;18.9;16.01;157;2022
26.1;18.9;16.49;158;2022
34.74;18.98;13.72;159;2022
33.15;19.0;14.26;160;2022
34.06;19.0;13.96;161;2022
34.36;19.0;13.86;162;2022
34.07;19.0;13.95;163;2022
34.21;19.0;13.9;164;2022
31.69;19.0;14.76;165;2022
31.44;19.1;14.97;166;2022
26.54;19.1;16.61;167;2022
31.28;19.1;15.03;168;2022
31.5;19.1;14.96;169;2022
26.61;19.1;16.59;170;2022
30.35;19.1;15.34;171;2022
31.56;19.1;14.92;172;2022
30.91;19.17;15.24;173;2022
30.95;19.21;15.28;174;2022
37.1;19.3;13.35;175;2022
25.69;19.3;17.16;176;2022
33.49;19.3;14.56;177;2022
34.55;19.3;14.2;178;2022
25.08;19.3;17.36;179;2022
27.01;19.3;16.72;180;2022
32.05;19.3;15.03;181;2022
29.49;19.3;15.88;182;2022
29.69;19.3;15.82;183;2022
31.68;19.4;15.3;184;2022
31.18;19.4;15.46;185;2022
28.35;19.4;16.42;186;2022
32.74;19.46;15.01;187;2022
36.07;19.5;13.95;188;2022
36.46;19.5;13.83;189;2022
32.79;19.5;15.06;190;2022
30.65;19.57;15.86;191;2022
30.97;19.6;15.79;192;2022
33.83;19.6;14.84;193;2022
35.03;19.6;14.43;194;2022
26.12;19.6;17.42;195;2022
19.34;19.6;19.66;196;2022
25.94;19.7;17.63;197;2022
23.38;19.7;18.48;198;2022
18.23;19.7;20.21;199;2022
22.21;19.7;18.87;200;2022
22.14;19.7;18.9;201;2022
23.54;19.7;18.43;202;2022
15.0;19.7;21.3;203;2022
21.07;19.7;19.25;204;2022
21.09;19.7;19.25;205;2022
29.25;19.78;16.61;206;2022
31.99;19.8;15.72;207;2022
35.4;19.8;14.59;208;2022
33.75;19.8;15.14;209;2022
40.18;19.8;12.99;210;2022
32.49;19.8;15.56;211;2022
35.98;19.8;14.41;212;2022
29.05;19.8;16.71;213;2022
33.16;19.9;15.46;214;2022
32.09;19.97;15.92;215;2022
34.05;20.0;15.31;216;2022
33.17;20.0;15.6;217;2022
32.59;20.0;15.8;218;2022
29.2;20.0;16.94;219;2022
33.71;20.08;15.52;220;2022
31.72;20.1;16.21;221;2022
34.45;20.1;15.3;222;2022
28.36;20.1;17.34;223;2022
29.09;20.15;17.15;224;2022
35.66;20.2;15.03;225;2022
33.99;20.2;15.58;226;2022
34.63;20.2;15.37;227;2022
37.05;20.2;14.56;228;2022
32.95;20.22;15.96;229;2022
31.99;20.3;16.37;230;2022
