"QTD_PAI_NENHUMA";"QTD_MAE_NENHUMA";"QTD_PAI_FUND_I";"QTD_MAE_FUND_I";"QTD_PAI_FUND_II";"QTD_MAE_FUND_II";"QTD_PAI_MEDIO";"QTD_MAE_MEDIO";"QTD_PAI_SUPERIOR";"QTD_MAE_SUPERIOR";"QTD_PAI_POS";"QTD_MAE_POS";"D_TEMPO_TEMPO_KEY";"D_CURSO_CURSO_KEY"
1;0;2;1;3;3;14;11;15;16;10;14;2022;2
1;1;4;3;3;2;11;11;8;10;8;8;2022;3
4;1;12;10;7;6;20;18;7;7;1;9;2022;4
2;2;8;1;8;10;30;33;22;24;11;11;2022;5
2;2;10;8;9;7;30;32;13;17;9;7;2022;6
4;4;10;8;9;5;18;17;1;6;1;3;2022;7
3;2;10;5;16;9;23;25;32;38;29;34;2022;8
1;0;9;3;12;9;26;27;24;29;6;10;2022;9
0;0;8;2;6;6;17;17;20;26;23;23;2022;10
2;3;26;11;19;18;58;55;58;68;32;40;2022;11
4;1;8;5;10;8;23;37;40;33;40;41;2022;12
3;0;9;11;7;6;34;30;24;21;8;17;2022;13
5;2;15;20;14;8;38;30;37;42;31;38;2022;14
1;1;15;12;12;6;33;30;26;32;14;20;2022;15
1;3;15;9;13;4;19;28;9;7;4;10;2022;16
14;7;33;26;16;11;51;52;37;38;12;29;2022;17
5;1;7;8;10;9;47;42;54;52;26;37;2022;18
12;2;20;12;18;22;46;56;20;18;6;12;2022;19
2;5;13;13;17;5;53;51;19;20;11;21;2022;20
11;0;13;16;19;11;59;66;26;24;8;19;2022;21
16;1;46;28;38;28;129;156;55;64;24;31;2022;22
4;0;4;3;8;4;27;33;24;20;10;17;2022;23
3;0;11;7;10;11;32;33;13;16;7;9;2022;24
7;3;6;6;13;8;33;24;29;33;8;22;2022;25
2;1;15;5;8;8;26;27;6;11;2;7;2022;26
5;1;11;4;13;13;18;20;8;14;0;3;2022;27
7;4;16;11;9;9;8;9;5;8;1;5;2022;28
6;0;25;21;21;16;42;54;12;16;5;4;2022;29
3;0;12;7;4;6;9;15;4;4;0;0;2022;30
0;1;14;8;7;6;20;15;17;18;8;18;2022;31
4;1;9;11;5;6;21;21;11;7;6;10;2022;32
2;1;11;10;4;7;19;18;15;12;2;5;2022;33
0;1;4;3;4;2;18;13;10;9;5;13;2022;34
4;4;8;7;18;12;12;13;5;8;5;8;2022;35
7;5;17;16;17;16;91;71;74;75;28;51;2022;36
0;0;8;2;6;7;19;21;11;15;9;8;2022;37
5;2;21;13;24;21;67;77;42;44;19;21;2022;38
5;3;15;12;16;15;36;36;16;19;8;11;2022;39
1;0;6;2;7;5;19;18;21;14;10;25;2022;40
1;0;9;6;5;8;8;8;8;6;1;4;2022;41
