"QTD_RENDA_ATE_1_5SM";"QTD_RENDA_1_5A3SM";"QTD_RENDA_3A4_5SM";"QTD_RENDA_4_5A6SM";"QTD_RENDA_6A10SM";"QTD_RENDA_10A30SM";"QTD_RENDA_ACIMA_30SM";"D_TEMPO_TEMPO_KEY";"D_CURSO_CURSO_KEY"
7;5;5;11;12;4;1;2022;2
2;7;8;9;3;4;2;2022;3
10;18;10;7;4;2;0;2022;4
11;18;14;13;13;9;3;2022;5
7;20;15;7;15;8;1;2022;6
5;20;9;5;3;1;0;2022;7
10;6;11;10;20;42;14;2022;8
12;21;15;7;12;10;1;2022;9
8;15;8;8;9;21;5;2022;10
21;39;16;20;40;46;13;2022;11
8;18;11;8;20;40;20;2022;12
5;12;15;14;20;17;2;2022;13
14;6;13;24;21;42;20;2022;14
8;13;14;16;22;25;3;2022;15
15;18;12;7;7;2;0;2022;16
37;24;22;24;29;23;4;2022;17
12;25;25;17;28;33;9;2022;18
38;51;17;7;5;4;0;2022;19
17;29;27;12;14;16;0;2022;20
18;38;36;25;12;7;0;2022;21
45;93;67;42;31;26;4;2022;22
13;18;14;9;12;10;1;2022;23
16;28;11;9;6;6;0;2022;24
19;21;18;8;17;11;2;2022;25
16;21;14;2;3;3;0;2022;26
24;25;4;1;1;0;0;2022;27
19;17;4;2;3;1;0;2022;28
43;43;13;8;2;2;0;2022;29
8;15;5;3;1;0;0;2022;30
9;18;16;6;10;4;3;2022;31
7;13;15;3;11;6;1;2022;32
5;17;11;8;5;7;0;2022;33
2;10;8;8;7;5;1;2022;34
10;15;13;8;2;3;1;2022;35
30;51;47;39;31;32;4;2022;36
2;7;15;9;15;4;1;2022;37
8;26;48;26;37;26;7;2022;38
3;23;33;12;15;10;0;2022;39
6;12;8;14;10;13;1;2022;40
9;11;6;5;1;0;0;2022;41
28;49;54;49;96;123;61;2022;42
4;13;7;5;0;0;0;2022;43
10;20;28;21;37;46;9;2022;44
6;12;9;3;19;21;3;2022;45
23;9;0;0;0;0;0;2022;46
0;0;1;1;3;4;0;2022;47
12;10;5;1;3;6;0;2022;48
28;41;17;14;21;37;27;2022;49
56;65;69;75;110;167;56;2022;50
1;4;1;0;0;2;0;2022;51
8;19;21;10;6;2;0;2022;52
11;13;10;3;3;0;0;2022;53
3;6;4;1;2;0;0;2022;54
24;56;62;48;50;36;3;2022;55
0;10;20;13;11;2;0;2022;56
0;4;7;3;10;1;1;2022;57
8;13;14;11;8;3;1;2022;58
0;10;10;7;6;2;0;2022;59
10;28;35;17;29;12;0;2022;60
24;40;64;48;52;31;4;2022;61
0;0;6;3;6;3;1;2022;62
1;5;7;2;5;3;0;2022;63
1;4;0;1;1;0;0;2022;64
2;3;3;0;2;2;0;2022;65
1;3;2;3;0;1;0;2022;66
0;3;2;2;1;1;0;2022;67
7;26;23;10;13;11;1;2022;68
10;21;8;12;12;6;0;2022;69
6;11;17;15;23;8;0;2022;70
23;50;45;26;34;35;9;2022;71
16;45;39;25;32;10;1;2022;72
8;13;7;14;5;12;2;2022;73
0;2;0;0;0;0;0;2022;75
27;24;21;13;15;12;2;2022;76
1;12;9;5;5;1;0;2022;77
12;38;58;61;120;115;48;2022;78
4;14;8;0;2;0;0;2022;79
2;12;23;32;47;34;8;2022;80
1;13;20;17;12;9;6;2022;81
11;32;74;55;70;80;33;2022;82
2;12;20;6;2;4;2;2022;83
2;14;14;6;5;2;0;2022;84
0;0;7;3;7;2;0;2022;85
13;25;26;33;27;13;1;2022;86
0;7;7;2;3;0;0;2022;87
1;2;4;1;1;0;0;2022;88
0;1;1;0;0;0;0;2022;89
1;3;1;1;0;0;0;2022;90
0;5;2;2;2;0;0;2022;91
2;7;7;3;2;0;0;2022;92
0;2;0;0;0;0;0;2022;93
