"QTD_FEMININO";"QTD_MASCULINO";"QTD_N_INFORMADO";"D_CURSO_CURSO_KEY";"D_TEMPO_TEMPO_KEY"
34;57;0;2;2022
13;23;0;3;2022
53;4;0;4;2022
37;47;0;5;2022
54;70;0;6;2022
48;17;0;7;2022
41;80;0;8;2022
82;8;0;9;2022
50;35;0;10;2022
107;143;0;11;2022
82;61;0;12;2022
55;55;0;13;2022
66;109;0;14;2022
48;91;0;15;2022
32;29;0;16;2022
90;91;0;17;2022
78;89;0;18;2022
122;9;0;19;2022
51;70;0;20;2022
81;57;0;21;2022
178;167;0;22;2022
64;28;0;23;2022
42;65;0;24;2022
45;75;0;25;2022
28;45;0;26;2022
57;4;0;27;2022
22;33;0;28;2022
57;78;0;29;2022
16;18;0;30;2022
45;31;0;31;2022
17;39;0;32;2022
25;29;0;33;2022
16;25;0;34;2022
53;10;0;35;2022
162;100;0;36;2022
16;39;0;37;2022
77;122;0;38;2022
46;56;0;39;2022
50;15;0;40;2022
27;6;0;41;2022
305;204;0;42;2022
29;1;0;43;2022
132;40;0;44;2022
67;13;0;45;2022
28;4;0;46;2022
1;8;0;47;2022
17;23;0;48;2022
71;114;0;49;2022
362;266;0;50;2022
3;6;0;51;2022
45;30;0;52;2022
27;13;0;53;2022
16;2;0;54;2022
188;152;0;55;2022
45;22;0;56;2022
8;25;0;57;2022
34;27;0;58;2022
29;9;0;59;2022
83;61;0;60;2022
158;129;0;61;2022
8;17;0;62;2022
13;16;0;63;2022
7;0;0;64;2022
11;14;0;65;2022
6;13;0;66;2022
5;14;0;67;2022
51;57;0;68;2022
57;16;0;69;2022
30;59;0;70;2022
140;119;0;71;2022
103;88;0;72;2022
50;11;0;73;2022
0;0;1;74;2022
0;2;0;75;2022
68;50;0;76;2022
34;12;0;77;2022
310;210;0;78;2022
33;2;0;79;2022
75;139;0;80;2022
65;68;0;81;2022
230;303;0;82;2022
22;33;0;83;2022
26;22;0;84;2022
4;15;0;85;2022
92;68;0;86;2022
7;12;0;87;2022
7;3;0;88;2022
2;0;0;89;2022
4;5;0;90;2022
6;6;0;91;2022
16;7;0;92;2022
0;3;0;93;2022
10;10;0;94;2022
1;16;0;95;2022
14;4;0;96;2022
402;341;0;97;2022
12;57;0;98;2022
221;63;0;99;2022
37;131;0;100;2022
20;35;0;101;2022
623;443;0;102;2022
198;158;0;103;2022
37;23;0;104;2022
16;17;0;105;2022
39;47;0;106;2022
26;39;0;107;2022
18;16;0;108;2022
10;10;0;109;2022
84;23;0;110;2022
63;99;0;111;2022
267;33;0;112;2022
21;7;0;113;2022
57;46;0;114;2022
13;16;0;115;2022
45;44;0;116;2022
35;40;0;117;2022
29;32;0;118;2022
50;63;0;119;2022
20;19;0;120;2022
34;22;0;121;2022
31;26;0;122;2022
41;58;0;123;2022
51;102;0;124;2022
76;74;0;125;2022
92;19;0;126;2022
65;43;0;127;2022
38;53;0;128;2022
50;52;0;129;2022
61;61;0;130;2022
87;67;0;131;2022
54;9;0;132;2022
18;10;0;133;2022
304;249;0;134;2022
203;144;0;135;2022
25;12;0;136;2022
20;27;0;137;2022
44;40;0;138;2022
7;8;0;139;2022
22;22;0;140;2022
17;28;0;141;2022
23;19;0;142;2022
60;4;0;143;2022
30;55;0;144;2022
40;35;0;145;2022
51;60;0;146;2022
6;13;0;147;2022
20;26;0;148;2022
14;6;0;149;2022
56;45;0;150;2022
14;1;0;151;2022
19;8;0;152;2022
14;24;0;153;2022
11;7;0;154;2022
17;17;0;155;2022
21;10;0;156;2022
13;9;0;157;2022
17;15;0;158;2022
29;14;0;159;2022
57;52;0;160;2022
20;9;0;161;2022
16;20;0;162;2022
42;28;0;163;2022
23;18;0;164;2022
38;23;0;165;2022
45;39;0;166;2022
11;5;0;167;2022
25;23;0;168;2022
3;15;0;169;2022
29;9;0;170;2022
47;25;0;171;2022
6;4;0;172;2022
177;182;0;173;2022
46;30;0;174;2022
24;19;0;175;2022
8;1;0;176;2022
28;29;0;177;2022
15;10;0;178;2022
10;7;0;179;2022
10;9;0;180;2022
12;10;0;181;2022
7;7;0;182;2022
63;46;0;183;2022
64;63;0;184;2022
35;67;0;185;2022
9;3;0;186;2022
66;71;0;187;2022
14;5;0;188;2022
51;23;0;189;2022
77;60;0;190;2022
35;70;0;191;2022
38;20;0;192;2022
64;38;0;193;2022
21;13;0;194;2022
15;11;0;195;2022
6;21;0;196;2022
11;0;0;197;2022
148;108;0;198;2022
15;15;0;199;2022
13;8;0;200;2022
122;101;0;201;2022
27;26;0;202;2022
0;2;0;203;2022
84;49;0;204;2022
45;44;0;205;2022
44;13;0;206;2022
25;11;0;207;2022
38;11;0;208;2022
5;6;0;209;2022
6;8;0;210;2022
61;42;0;211;2022
8;6;0;212;2022
62;39;0;213;2022
197;135;0;214;2022
22;16;0;215;2022
173;121;0;216;2022
18;15;0;217;2022
23;20;0;218;2022
7;21;0;219;2022
83;54;0;220;2022
34;26;0;221;2022
139;32;0;222;2022
3;7;0;223;2022
10;12;0;224;2022
72;23;0;225;2022
